id_unique;stocking_bs_jp;id_fire;time_since_fire;latitude;longitude;seasonality_real_date;seasonality_adjusted;CBI;sphagnum_cover;ericaceous_cover;rom_med;age;basal_area_prefire_bs;prefire_bs_proportion;seedlings_ha_bs;seedlings_ha_jp;seedlings_ha_bl
201720103;0;2010_2;7;49.71136794;-71.34432175;2010-05-19;57;2.506053181;0;31.4814815;140;97;18.75754392;81.58702994;0;3750;1500
20202011MG039;0;2011_1;9;50.63426;-67.68068;2011-06-15;49;2.451521866;0;66.6666667;230;242;16.11303887;100;0;0;0
20202011MG033;0;2011_1;9;50.64471;-67.70905;2011-06-15;47;2.437832888;0;59.2592593;230;67.5;4.706421258;100;0;0;0
20202011MG029;0;2011_1;9;50.64275;-67.70853;2011-06-15;49;2.445844169;0;46.2962963;180;292;7.06408863;100;0;0;0
20202011MG034;0;2011_1;9;50.63732;-67.68323;2011-06-15;49;2.546595689;0;60.1851852;210;299;8.163940704;100;0;0;0
20202011MG031;0;2011_1;9;50.64175;-67.70829;2011-06-15;49;2.448594981;0;55.5555556;170;294;8.946558645;100;0;0;0
20202013UA077;0;2013_2;7;51.7578;-68.00938;2013-07-10;92;2.048045629;0;27.7777778;110;114;4.066341319;87.95048406;0;2000;0
20202016ME002;0;2016_1;4;50.59629;-68.4416;2016-06-12;47;1.378900618;0;0;230;125;19.73468926;99.98370146;0;0;0
20202016ME003;0;2016_1;4;50.59539;-68.44029;2016-06-12;47;2.043595891;0;46.2962963;230;132;23.10070274;100;0;0;0
20202016ME001;0;2016_1;4;50.59723;-68.44469;2016-06-12;47;1.927063138;0;0;245;130;28.06449116;98.3258678;0;0;0
20192005P055;1;2005_1;14;50.0418;-73.19446;2005-06-05;39;2.042273878;0;28.7037037;120;88;10.00715259;100;250;0;0
20192005P054;1;2005_1;14;50.04107;-73.19621;2005-06-05;40;2.199164769;0;37.962963;133;46.5;10.30053418;100;250;0;250
20192005P058;1;2005_1;14;50.02051;-73.2233;2005-06-06;38;2.022264292;0;2.7777778;91;88;5.637372654;99.90640897;250;2500;0
20192005P053;1;2005_1;14;50.04217;-73.19619;2005-06-05;40;2.017740218;1.098901099;31.4814815;190;92;5.932339962;100;250;0;0
